Centroid,Accion,Estancia,Tiempo,Tarifa,Usuario,-Uso-,-Tarifa-
34,luz,dormitorio_secundario,59.56385780118499,0.12907817643186528,u1,MAL USO,MEDIA
38,luz,salon,60.880319148936174,0.1292603058510656,u1,MAL USO,MEDIA
16,calefaccion,cocina,59.38170731707317,0.14351849593495844,u1,MAL USO,MEDIA
33,planchado,dormitorio_principal,60.160618122219624,0.1441381409505956,u1,MAL USO,MEDIA
11,secado,pasillo,59.909351145038165,0.14461283396946364,u1,MAL USO,ALTA
21,planchado,dormitorio_secundario,60.41157869131598,0.14465117976161324,u1,MAL USO,ALTA
26,calefaccion,pasillo,61.706699147381244,0.14431376370279994,u1,MAL USO,MEDIA
36,secado,salon,59.901216182675604,0.1445068255150146,u1,MAL USO,ALTA
35,secado,salon,58.37918075911312,0.09899999999999516,u1,BUEN USO,
39,calefaccion,dormitorio_principal,30.352846832397756,0.14354731355252792,u1,MAL USO,MEDIA
44,calefaccion,cocina,61.5,0.09899999999999556,u1,MAL USO,
45,luz,pasillo,31.994891443167305,0.1438748403576009,u1,MAL USO,MEDIA
17,planchado,cocina,17.484215017064848,0.14133233788396304,u1,MAL USO,MEDIA
4,calefaccion,dormitorio_principal,61.98678996036988,0.0989999999999961,u1,MAL USO,
23,luz,pasillo,59.612775330396474,0.09899999999999612,u1,MAL USO,
0,calefaccion,dormitorio_principal,90.6710816777042,0.14399249448123852,u1,MAL USO,MEDIA
46,secado,dormitorio_secundario,19.929690998656515,0.14643842364532078,u1,MAL USO,ALTA
24,secado,pasillo,61.220346929207686,0.09899999999999654,u1,BUEN USO,
32,planchado,pasillo,30.420104314841158,0.14442437174016362,u1,MAL USO,MEDIA
25,luz,pasillo,90.1659493065519,0.14457627929220715,u1,MAL USO,ALTA
1,planchado,dormitorio_principal,61.33899127061106,0.09899999999999677,u1,BUEN USO,
14,calefaccion,pasillo,59.394953905870935,0.09899999999999679,u1,MAL USO,
10,planchado,dormitorio_secundario,58.90207715133531,0.09899999999999692,u1,BUEN USO,
49,planchado,salon,59.622489959839356,0.09899999999999703,u1,BUEN USO,
15,planchado,pasillo,90.5896273917422,0.14445015105740477,u1,MAL USO,MEDIA
3,secado,dormitorio_secundario,94.16692347200822,0.0989999999999972,u1,BUEN USO,
